Timestamp,accX_shoulder_r,accY_shoulder_r,accZ_shoulder_r,magX_shoulder_r,magY_shoulder_r,magZ_shoulder_r,gyroX_shoulder_r,gyroY_shoulder_r,gyroZ_shoulder_r,accX_shoulder_l,accY_shoulder_l,accZ_shoulder_l,magX_shoulder_l,magY_shoulder_l,magZ_shoulder_l,gyroX_shoulder_l,gyroY_shoulder_l,gyroZ_shoulder_l,accX_back,accY_back,accZ_back,magX_back,magY_back,magZ_back,gyroX_back,gyroY_back,gyroZ_back,accX_neck,accY_neck,accZ_neck,magX_neck,magY_neck,magZ_neck,gyroX_neck,gyroY_neck,gyroZ_neck,Classification
1635193883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635193883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635193884,0.869140625,-1.492675781,1.170410156,-3.112792969,1.358032227,0.991821289,213.0632479,21.74114774,41.08327228,-0.888183594,-1.130371094,1.252929688,0.40435791,1.129150391,0.900268555,26.38925519,-133.5956044,24.29010989,-0.270019531,1.881835938,-0.615722656,-0.450134277,3.189086914,0.923156738,-132.8459096,87.41440781,-23.84029304,-0.182128906,-1.646484375,1.010742188,-1.403808594,1.29699707,2.456665039,1.649328449,-20.84151404,-1.799267399,0
1635193884,0.869140625,-1.492675781,1.170410156,-3.112792969,1.358032227,0.991821289,213.0632479,21.74114774,41.08327228,-0.888183594,-1.130371094,1.252929688,0.40435791,1.129150391,0.900268555,26.38925519,-133.5956044,24.29010989,-0.270019531,1.881835938,-0.615722656,-0.450134277,3.189086914,0.923156738,-132.8459096,87.41440781,-23.84029304,-0.182128906,-1.646484375,1.010742188,-1.403808594,1.29699707,2.456665039,1.649328449,-20.84151404,-1.799267399,0
1635193885,0.892578125,-1.402832031,1.083007813,6.851196289,3.410339355,-1.770019531,211.1140415,20.84151404,39.43394383,-0.899414063,-1.123046875,1.257324219,0.129699707,0.747680664,0.686645508,26.38925519,-135.3948718,24.58998779,-0.264160156,1.899414063,-0.603027344,-0.457763672,0.930786133,0.89263916,-133.7455433,87.26446886,-25.33968254,-0.192382813,-1.639648438,1.018066406,0.640869141,1.350402832,2.044677734,2.099145299,-23.24053724,-3.898412698,0
1635193885,0.892578125,-1.402832031,1.083007813,6.851196289,3.410339355,-1.770019531,211.1140415,20.84151404,39.43394383,-0.899414063,-1.123046875,1.257324219,0.129699707,0.747680664,0.686645508,26.38925519,-135.3948718,24.58998779,-0.264160156,1.899414063,-0.603027344,-0.457763672,0.930786133,0.89263916,-133.7455433,87.26446886,-25.33968254,-0.192382813,-1.639648438,1.018066406,0.640869141,1.350402832,2.044677734,2.099145299,-23.24053724,-3.898412698,0
1635193886,0.861328125,-1.478027344,1.116699219,-0.9765625,0.778198242,0.770568848,211.4139194,21.44126984,39.73382173,-0.884277344,-1.122558594,1.259277344,-0.228881836,1.243591309,1.205444336,26.83907204,-135.0949939,25.63956044,-0.274902344,1.886230469,-0.623535156,-0.396728516,2.220153809,1.190185547,-134.3452991,88.76385836,-22.79072039,-0.174804688,-1.670898438,0.983886719,-0.717163086,0.74005127,2.136230469,0.44981685,-21.74114774,-4.048351648,0
1635193886,0.861328125,-1.478027344,1.116699219,-0.9765625,0.778198242,0.770568848,211.4139194,21.44126984,39.73382173,-0.884277344,-1.122558594,1.259277344,-0.228881836,1.243591309,1.205444336,26.83907204,-135.0949939,25.63956044,-0.274902344,1.886230469,-0.623535156,-0.396728516,2.220153809,1.190185547,-134.3452991,88.76385836,-22.79072039,-0.174804688,-1.670898438,0.983886719,-0.717163086,0.74005127,2.136230469,0.44981685,-21.74114774,-4.048351648,0
1635193887,0.829101563,-1.534179688,0.977539063,-9.872436523,0.862121582,2.372741699,212.4634921,20.09181929,39.73382173,-0.881347656,-1.106933594,1.262207031,0.16784668,1.419067383,1.792907715,26.38925519,-134.645177,26.08937729,-0.252441406,1.89453125,-0.627441406,-0.518798828,3.288269043,0.946044922,-133.7455433,86.81465201,-24.73992674,-0.200683594,-1.650390625,0.998046875,11.73400879,4.867553711,3.288269043,1.1995116,-22.04102564,-4.048351648,0
1635193891,0.854980469,-1.467773438,1.16796875,-3.143310547,-2.082824707,1.708984375,212.1636142,20.84151404,39.43394383,-0.869628906,-1.118652344,1.281738281,0.549316406,1.335144043,0.801086426,24.44004884,-135.9946276,25.48962149,-0.281738281,1.895996094,-0.598144531,-1.022338867,1.953125,1.876831055,-134.1953602,88.61391941,-25.03980464,-0.19140625,-1.624023438,1.045410156,-1.266479492,0.961303711,3.112792969,0.2998779,-21.89108669,-3.898412698,0
