Timestamp,accX_shoulder_r,accY_shoulder_r,accZ_shoulder_r,magX_shoulder_r,magY_shoulder_r,magZ_shoulder_r,gyroX_shoulder_r,gyroY_shoulder_r,gyroZ_shoulder_r,accX_shoulder_l,accY_shoulder_l,accZ_shoulder_l,magX_shoulder_l,magY_shoulder_l,magZ_shoulder_l,gyroX_shoulder_l,gyroY_shoulder_l,gyroZ_shoulder_l,accX_back,accY_back,accZ_back,magX_back,magY_back,magZ_back,gyroX_back,gyroY_back,gyroZ_back,accX_neck,accY_neck,accZ_neck,magX_neck,magY_neck,magZ_neck,gyroX_neck,gyroY_neck,gyroZ_neck,Classification
1635197203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635197203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635197204,0.944824219,-1.682128906,0.525390625,2.128601074,1.71661377,-0.350952148,-5.097924298,-130.5968254,-17.69279609,-0.415527344,-1.591308594,1.158203125,0.053405762,-0.930786133,0.511169434,222.5094017,11.0954823,69.27179487,0.967285156,-1.27734375,1.205566406,-1.350402832,1.113891602,2.540588379,6.747252747,-24.73992674,28.03858364,-1.936035156,-0.118652344,0.242675781,-0.366210938,1.21307373,1.022338867,-102.8581197,72.12063492,10.4957265,0
1635197204,0.944824219,-1.682128906,0.525390625,2.128601074,1.71661377,-0.350952148,-5.097924298,-130.5968254,-17.69279609,-0.415527344,-1.591308594,1.158203125,0.053405762,-0.930786133,0.511169434,222.5094017,11.0954823,69.27179487,0.967285156,-1.27734375,1.205566406,-1.350402832,1.113891602,2.540588379,6.747252747,-24.73992674,28.03858364,-1.936035156,-0.118652344,0.242675781,-0.366210938,1.21307373,1.022338867,-102.8581197,72.12063492,10.4957265,0
1635197205,0.939941406,-1.671386719,0.544921875,0.205993652,0.877380371,0.694274902,-4.348229548,-129.8471306,-16.64322344,-0.417480469,-1.612304688,1.161132813,-1.434326172,-0.289916992,0.900268555,224.1587302,10.4957265,69.42173382,0.948730469,-1.274414063,1.202636719,-1.075744629,1.113891602,1.487731934,7.646886447,-25.18974359,27.13894994,-1.945800781,-0.112792969,0.260742188,-0.679016113,1.266479492,1.052856445,-104.807326,71.67081807,11.24542125,0
1635197205,0.939941406,-1.671386719,0.544921875,0.205993652,0.877380371,0.694274902,-4.348229548,-129.8471306,-16.64322344,-0.417480469,-1.612304688,1.161132813,-1.434326172,-0.289916992,0.900268555,224.1587302,10.4957265,69.42173382,0.948730469,-1.274414063,1.202636719,-1.075744629,1.113891602,1.487731934,7.646886447,-25.18974359,27.13894994,-1.945800781,-0.112792969,0.260742188,-0.679016113,1.266479492,1.052856445,-104.807326,71.67081807,11.24542125,0
1635197206,0.9453125,-1.66015625,0.563476563,0.350952148,1.342773438,0.450134277,-4.648107448,-130.1470085,-15.59365079,-0.41796875,-1.584472656,1.154785156,1.434326172,1.976013184,-0.091552734,223.7089133,11.24542125,69.12185592,0.9375,-1.303222656,1.195800781,-1.655578613,0.709533691,3.120422363,6.147496947,-24.58998779,27.58876679,-1.939453125,-0.107421875,0.278808594,-2.456665039,3.211975098,1.884460449,-104.0576313,71.22100122,11.24542125,0
1635197206,0.9453125,-1.66015625,0.563476563,0.350952148,1.342773438,0.450134277,-4.648107448,-130.1470085,-15.59365079,-0.41796875,-1.584472656,1.154785156,1.434326172,1.976013184,-0.091552734,223.7089133,11.24542125,69.12185592,0.9375,-1.303222656,1.195800781,-1.655578613,0.709533691,3.120422363,6.147496947,-24.58998779,27.58876679,-1.939453125,-0.107421875,0.278808594,-2.456665039,3.211975098,1.884460449,-104.0576313,71.22100122,11.24542125,0
1635197207,0.931152344,-1.653320313,0.55078125,0.350952148,1.960754395,0.16784668,-3.748473748,-130.7467643,-18.14261294,-0.430664063,-1.578613281,1.187988281,0.053405762,-0.411987305,0.549316406,223.4090354,11.995116,68.82197802,0.939453125,-1.291503906,1.203125,-1.098632813,0.747680664,2.731323242,4.947985348,-25.78949939,28.78827839,-1.960449219,-0.119628906,0.138183594,-5.783081055,16.70074463,3.089904785,-103.3079365,71.97069597,10.1958486,0
1635197213,0.806640625,-1.656738281,0.410644531,-7.209777832,12.74871826,5.149841309,-2.249084249,-132.3960928,-15.29377289,-0.210449219,-1.767578125,0.96484375,3.410339355,-7.133483887,0.389099121,224.0087912,12.14505495,65.52332112,0.995605469,-1.328125,1.217285156,35.67504883,11.16943359,-27.45056152,4.498168498,-25.03980464,30.88742369,-2.026367188,0.063476563,-0.212890625,23.69689941,12.67242432,-0.602722168,-103.4578755,71.07106227,10.7956044,0
