q0_back_mid,q1_back_mid,q2_back_mid,q3_back_mid,Timestamp,category
0.9971884489059448,-0.006242562551051378,0.009524054825305939,0.04597964137792587,1637174650.675981,0
0.9971986413002014,-0.0027683409862220287,0.008958590216934681,0.046214085072278976,1637174650.828545,0
0.9972020387649536,-3.187886250088923e-05,0.007914740592241287,0.04640763998031616,1637174650.95405,0
0.9971950054168701,-0.003635154804214835,0.006377578712999821,0.04665546864271164,1637174651.03805,0
0.9971544146537781,-0.0021502203308045864,0.010326186195015907,0.04690420627593994,1637174651.164066,0
0.9971795082092285,0.002809959463775158,0.005120492074638605,0.04719305410981178,1637174651.280517,0
0.9971511363983154,0.0009442177833989263,0.008587347343564034,0.04735994711518288,1637174651.398499,0
0.9970591068267822,-0.0018902876181527972,0.015189683996140957,0.047599729150533676,1637174651.576504,0
0.997029721736908,-0.0025621859822422266,0.016264284029603004,0.04783041030168533,1637174651.696978,0
0.9970996975898743,-0.0035850859712809324,0.010044693015515804,0.048020876944065094,1637174651.815953,0
0.9971187114715576,-0.0051153977401554585,0.006407004315406084,0.04811578616499901,1637174651.906203,0
0.9970880746841431,-0.003184626577422023,0.009807099588215351,0.04834868386387825,1637174651.996196,0
0.9970714449882507,-0.00036009823088534176,0.010184030048549175,0.04871224984526634,1637174652.116197,0
0.9970733523368835,-0.000580618972890079,0.008922875858843327,0.04891696572303772,1637174652.238521,0
0.9970150589942932,-0.010063320398330688,0.00840944517403841,0.04915769025683403,1637174652.357522,0
0.9970514178276062,-0.004000244662165642,0.008723855949938297,0.04923783987760544,1637174652.362523,0
0.9969889521598816,-0.0016930712154135108,0.013347744941711426,0.04958980903029442,1637174652.536521,0
0.9970257878303528,0.0007840500911697745,0.009435567073523998,0.04977952316403389,1637174652.656519,0
0.9970441460609436,0.00021791658946312964,0.005906029604375362,0.04996097832918167,1637174652.775822,0
0.9969971179962158,7.145072595449165e-05,0.010595881380140781,0.05011884123086929,1637174652.898441,0
0.9969644546508789,-0.0031534708105027676,0.011868559755384922,0.05038970708847046,1637174653.015258,0
0.9969840049743652,-7.827733497833833e-05,0.009011400863528252,0.05069025233387947,1637174653.076442,0
0.9969659447669983,-0.0033875619992613792,0.009523020125925541,0.050844013690948486,1637174653.196328,0
