q0_back_mid,q1_back_mid,q2_back_mid,q3_back_mid,Timestamp,q0_back_low,q1_back_low,q2_back_low,q3_back_low,q0_neck,q1_neck,q2_neck,q3_neck,category
0.4302043914794922,-0.4156394600868225,0.581813395023346,-0.5481799244880676,1637027586.771104,0.34738296270370483,-0.3660784363746643,-0.6119346618652344,0.6062111258506775,-0.15091486275196075,0.0236930213868618,-0.6633515357971191,0.7304148077964783,4
0.43361249566078186,-0.41152334213256836,0.5824118852615356,-0.5480030179023743,1637027586.892488,0.3480350375175476,-0.36646920442581177,-0.6116814017295837,0.6058537364006042,-0.14761978387832642,0.02547769993543625,-0.6663661599159241,0.7282898426055908,4
0.4325388967990875,-0.41165679693222046,0.585989773273468,-0.5449491739273071,1637027587.072054,0.34927335381507874,-0.36559057235717773,-0.603104293346405,0.6142048239707947,-0.14907307922840118,0.023293448612093925,-0.6646766662597656,0.7296009659767151,4
0.4332425594329834,-0.41058576107025146,0.5835933089256287,-0.5477680563926697,1637027587.252831,0.352001816034317,-0.36405614018440247,-0.6058354377746582,0.6110852360725403,-0.14278502762317657,0.025145769119262695,-0.6649917960166931,0.7304791808128357,4
0.4343840181827545,-0.40932101011276245,0.5811059474945068,-0.550205647945404,1637027587.37176,0.34690824151039124,-0.37002038955688477,-0.6145007014274597,0.601516604423523,-0.14375802874565125,0.02217775769531727,-0.6672945618629456,0.7281505465507507,4
0.4345163106918335,-0.4096934199333191,0.5814963579177856,-0.5496286153793335,1637027587.555581,0.34748193621635437,-0.37066736817359924,-0.6165478229522705,0.5987715721130371,-0.14568887650966644,0.017848528921604156,-0.6617357134819031,0.7331750392913818,4
0.43634310364723206,-0.40647977590560913,0.5839123725891113,-0.5477809309959412,1637027587.792439,0.34783637523651123,-0.37129727005958557,-0.6130215525627136,0.60182785987854,-0.14259546995162964,0.01691671647131443,-0.6627107262611389,0.7328007817268372,4
0.4304089844226837,-0.41201215982437134,0.5863907337188721,-0.5459238886833191,1637027587.974456,0.3454398214817047,-0.37418434023857117,-0.6158444881439209,0.5983590483665466,-0.13694387674331665,0.01959441788494587,-0.6641097068786621,0.7325506806373596,4
0.4302313029766083,-0.4122103154659271,0.5844439268112183,-0.54804927110672,1637027588.211163,0.34831592440605164,-0.37245357036590576,-0.6161476969718933,0.5976422429084778,-0.13815762102603912,0.014292201027274132,-0.6637136936187744,0.7328386306762695,4
0.4296127259731293,-0.41196367144584656,0.586905300617218,-0.5459867119789124,1637027588.397147,0.3457157015800476,-0.3758171498775482,-0.617805540561676,0.5953444242477417,-0.13296975195407867,0.017633184790611267,-0.6620199084281921,0.7352752685546875,4
